Ave,σ,Ave,σ,Ave,σ,Ave,σ
2362.5,1074.974263,1741.25,15.30522787,1136.25,34.21865963,1798.25,98.40858702
2376.5,1105.592601,1738,16.18641406,1131.75,33.98406489,1796.5,98.56469956
2390.25,1136.297313,1734.5,15.69500982,1127.75,32.97852837,1796.25,98.47292352
2405,1166.438454,1731,15.59914528,1124.75,32.93807321,1794.75,98.10326192
2418.75,1197.153673,1727.25,14.7732867,1121,33.63529892,1793.75,97.12663555
2433.5,1227.285487,1723.75,14.7507062,1117.25,31.72144385,1793.5,98.7943993
2447.75,1257.730065,1720.75,15.37042615,1114,32.83291032,1792.25,98.40858702
2461.5,1288.535732,1717,15.09966887,1111.25,32.69429104,1791.25,98.23907912
2476.25,1318.626906,1714.25,15.37042615,1107.75,31.70042061,1790.25,97.6673777
2489.75,1349.562244,1710.25,15.37042615,1105.25,31.42583863,1789.25,97.15751815
2504.75,1379.517397,1706.5,15.06651917,1102,31.3581462,1788.75,97.35972816
2518.25,1410.458407,1703.75,14.22146265,1099.5,31.54362059,1787.75,97.86853427
2533,1440.617229,1700.25,13.81725974,1095.5,30.33699612,1785.75,97.86853427
2547.5,1470.877856,1697.5,15.28615932,1094,31.55946768,1786,96.20117809
2563,1500.551676,1694.75,13.81725974,1091,30.11090611,1785.5,96.40366521
2575.5,1532.131957,1690.75,15.06375341,1089.25,30.73949685,1784.75,96.78972053
2590.75,1561.952064,1688.25,14.5,1086,30.11090611,1783.25,97.56493564
2605,1592.405099,1684.5,15.41644144,1084,30.38640047,1782.25,97.23639579
2619.25,1622.872428,1681,14.71960144,1081.25,29.22755549,1781.25,96.99613394
2633.25,1653.523586,1677.75,14.5,1079.5,29.86078811,1780.5,97.20939598
2647.5,1683.981096,1674.75,13.93735986,1076.5,29.10326442,1779.25,96.48963675
2661.25,1714.827955,1670.5,15.15475723,1075,29.35983651,1778.25,96.82071059
2675.25,1745.423039,1668,15.16575089,1072.75,28.98706608,1776.75,96.28213749
2689.75,1775.747988,1664.5,14.43375673,1070.25,28.75615876,1776.25,96.56215615
2704,1806.188252,1661.5,14.43375673,1069,29.05167809,1775.25,96.01866138
2718.25,1836.662984,1658.5,15.28615932,1066.75,28.07579028,1773.5,95.32575727
2732.5,1867.138542,1655.75,14.08012784,1065.25,28.00446393,1774.25,96.82071059
2747,1897.465854,1652,13.73559852,1063.25,28.17061116,1773.25,96.82071059
2760.75,1928.262149,1648.5,14.29452109,1062,28.29605391,1772.25,96.56215615
2775,1958.739901,1646.75,14.5,1060.5,27.45299012,1770.5,96.37945839
2790,1988.718683,1643.5,13.72345923,1058.5,27.13546265,1770.75,96.52417659
2804.25,2019.197757,1640.25,14.63728117,1057.25,28.00446393,1770.25,96.31675174
2819,2049.319074,1638,13.73559852,1055.75,27.02313823,1769.25,95.9214088
2833.75,2079.450789,1635,14.28285686,1054,26.78307924,1770,96.10064169
2847.5,2110.289791,1631.5,14.43375673,1052.5,27.74286695,1767.75,96.02560422
2862.5,2140.271712,1628.75,14.24488212,1051.75,27.32977619,1767,94.61148627
2876.75,2170.763978,1626,14.65150732,1050.25,26.80018657,1767,94.85075997
2890.75,2201.388104,1623,13.88044188,1048.75,26.88710967,1766,95.92705562
2905.25,2231.711208,1620.75,14.24488212,1047.5,26.56438719,1765.5,96.13358761
2919.75,2262.017002,1617.25,14.24488212,1046.5,26.26150542,1764.25,95.17483911
2934,2292.501254,1613.75,13.6961065,1045,26.16613588,1763.75,95.95267931
2948.5,2322.808429,1610.75,14.08012784,1044,26.67083301,1764.75,96.52417659
2963.25,2352.963716,1608.75,13.6961065,1043,26.60826939,1763.25,96.16435584
2977.25,2383.626421,1605.5,14.6173413,1041.5,25.94224354,1763,96.16998839
2991.75,2413.935152,1603,14.07124728,1040.5,26.14702023,1762,96.10064169
